snapshot_time,streamer,game,viewers,started_at
2026-05-11T14:58:35.015881,StRoGo,Counter-Strike,43481,2026-05-11T07:13:59Z
2026-05-11T14:58:35.015881,PGL,Counter-Strike,27262,2026-05-11T04:13:15Z
2026-05-11T14:58:35.015881,aospat,Just Chatting,25218,2026-05-11T12:47:38Z
2026-05-11T14:58:35.015881,dangerlyoha,IRL,20160,2026-05-11T12:02:48Z
2026-05-11T14:58:35.015881,gon_vl,Splatoon 3,16563,2026-05-11T07:21:43Z
2026-05-11T14:58:35.015881,fps_shaka,League of Legends,15299,2026-05-11T11:04:07Z
2026-05-11T14:58:35.015881,cs2_paragon_ru,Counter-Strike,14803,2026-05-11T04:25:51Z
2026-05-11T14:58:35.015881,bySL4M,Counter-Strike,13532,2026-05-11T04:30:13Z
2026-05-11T14:58:35.015881,steel,IRL,10850,2026-05-11T12:14:52Z
2026-05-11T14:58:35.015881,ゆゆうた押忍,Just Chatting,9702,2026-05-11T09:00:34Z
2026-05-11T14:58:35.015881,たいじ_たいちゃんねる,EA Sports UFC 5,9301,2026-05-11T07:19:01Z
2026-05-11T14:58:35.015881,超負荷,Just Chatting,9219,2026-05-11T09:22:25Z
2026-05-11T14:58:35.015881,k4sen,League of Legends,8580,2026-05-11T10:20:40Z
2026-05-11T14:58:35.015881,Clemovitch,Just Chatting,8496,2026-05-11T10:37:54Z
2026-05-11T14:58:35.015881,tonveraendert,Just Chatting,7875,2026-05-11T11:34:00Z
2026-05-11T14:58:35.015881,cybersteffie,Software and Game Development,7798,2026-05-11T03:01:13Z
2026-05-11T14:58:35.015881,Recrent,PUBG: BATTLEGROUNDS,7224,2026-05-11T11:10:02Z
2026-05-11T14:58:35.015881,CohhCarnage,Death Stranding 2: On the Beach,6779,2026-05-11T11:40:44Z
2026-05-11T14:58:35.015881,Dmitry_Lixxx,Counter-Strike,6529,2026-05-11T04:48:10Z
2026-05-11T14:58:35.015881,珮蕾,Just Chatting,6092,2026-05-11T11:07:31Z
2026-05-11T15:00:39.550152,StRoGo,Counter-Strike,43481,2026-05-11T07:13:59Z
2026-05-11T15:00:39.550152,PGL,Counter-Strike,27262,2026-05-11T04:13:15Z
2026-05-11T15:00:39.550152,aospat,Just Chatting,25218,2026-05-11T12:47:38Z
2026-05-11T15:00:39.550152,dangerlyoha,IRL,19705,2026-05-11T12:02:48Z
2026-05-11T15:00:39.550152,gon_vl,Splatoon 3,16563,2026-05-11T07:21:43Z
2026-05-11T15:00:39.550152,fps_shaka,League of Legends,15096,2026-05-11T11:04:07Z
2026-05-11T15:00:39.550152,cs2_paragon_ru,Counter-Strike,12525,2026-05-11T04:25:51Z
2026-05-11T15:00:39.550152,bySL4M,Counter-Strike,12348,2026-05-11T04:30:13Z
2026-05-11T15:00:39.550152,steel,IRL,11074,2026-05-11T12:14:52Z
2026-05-11T15:00:39.550152,ゆゆうた押忍,Just Chatting,9702,2026-05-11T09:00:34Z
2026-05-11T15:00:39.550152,超負荷,Just Chatting,9219,2026-05-11T09:22:25Z
2026-05-11T15:00:39.550152,たいじ_たいちゃんねる,EA Sports UFC 5,9196,2026-05-11T07:19:01Z
2026-05-11T15:00:39.550152,k4sen,League of Legends,8580,2026-05-11T10:20:40Z
2026-05-11T15:00:39.550152,Clemovitch,Just Chatting,8496,2026-05-11T10:37:54Z
2026-05-11T15:00:39.550152,tonveraendert,Just Chatting,7875,2026-05-11T11:34:00Z
2026-05-11T15:00:39.550152,cybersteffie,Software and Game Development,7798,2026-05-11T03:01:13Z
2026-05-11T15:00:39.550152,Recrent,PUBG: BATTLEGROUNDS,7224,2026-05-11T11:10:02Z
2026-05-11T15:00:39.550152,CohhCarnage,Death Stranding 2: On the Beach,6924,2026-05-11T11:40:44Z
2026-05-11T15:00:39.550152,珮蕾,Just Chatting,6092,2026-05-11T11:07:31Z
2026-05-11T15:00:39.550152,lol_nemesis,League of Legends,6065,2026-05-11T09:59:27Z
2026-05-11T15:01:35.020352,StRoGo,Counter-Strike,42140,2026-05-11T07:13:59Z
2026-05-11T15:01:35.020352,PGL,Counter-Strike,26113,2026-05-11T04:13:15Z
2026-05-11T15:01:35.020352,aospat,Just Chatting,25218,2026-05-11T12:47:38Z
2026-05-11T15:01:35.020352,dangerlyoha,IRL,19705,2026-05-11T12:02:48Z
2026-05-11T15:01:35.020352,gon_vl,Splatoon 3,16563,2026-05-11T07:21:43Z
2026-05-11T15:01:35.020352,fps_shaka,League of Legends,15096,2026-05-11T11:04:07Z
2026-05-11T15:01:35.020352,cs2_paragon_ru,Counter-Strike,12525,2026-05-11T04:25:51Z
2026-05-11T15:01:35.020352,bySL4M,Counter-Strike,12348,2026-05-11T04:30:13Z
2026-05-11T15:01:35.020352,steel,IRL,11074,2026-05-11T12:14:52Z
2026-05-11T15:01:35.020352,ゆゆうた押忍,Just Chatting,9702,2026-05-11T09:00:34Z
2026-05-11T15:01:35.020352,超負荷,Just Chatting,9219,2026-05-11T09:22:25Z
2026-05-11T15:01:35.020352,たいじ_たいちゃんねる,EA Sports UFC 5,9196,2026-05-11T07:19:01Z
2026-05-11T15:01:35.020352,Clemovitch,Just Chatting,8634,2026-05-11T10:37:54Z
2026-05-11T15:01:35.020352,k4sen,League of Legends,8580,2026-05-11T10:20:40Z
2026-05-11T15:01:35.020352,tonveraendert,Just Chatting,8253,2026-05-11T11:34:00Z
2026-05-11T15:01:35.020352,cybersteffie,Software and Game Development,7798,2026-05-11T03:01:13Z
2026-05-11T15:01:35.020352,Recrent,PUBG: BATTLEGROUNDS,7454,2026-05-11T11:10:02Z
