snapshot_time,streamer,game,viewers,started_at,hour_start,hour_snapshot,stream_age_seconds,stream_age_minutes,stream_age_hours
2026-05-11 14:58:35.015881+00:00,StRoGo,Counter-Strike,43481,2026-05-11 07:13:59+00:00,7,14,27876.0,464.6,7.74
2026-05-11 14:58:35.015881+00:00,PGL,Counter-Strike,27262,2026-05-11 04:13:15+00:00,4,14,38720.0,645.33,10.76
2026-05-11 14:58:35.015881+00:00,aospat,Just Chatting,25218,2026-05-11 12:47:38+00:00,12,14,7857.0,130.95,2.18
2026-05-11 14:58:35.015881+00:00,dangerlyoha,IRL,20160,2026-05-11 12:02:48+00:00,12,14,10547.0,175.78,2.93
2026-05-11 14:58:35.015881+00:00,gon_vl,Splatoon 3,16563,2026-05-11 07:21:43+00:00,7,14,27412.0,456.87,7.61
2026-05-11 14:58:35.015881+00:00,fps_shaka,League of Legends,15299,2026-05-11 11:04:07+00:00,11,14,14068.0,234.47,3.91
2026-05-11 14:58:35.015881+00:00,cs2_paragon_ru,Counter-Strike,14803,2026-05-11 04:25:51+00:00,4,14,37964.0,632.73,10.55
2026-05-11 14:58:35.015881+00:00,bySL4M,Counter-Strike,13532,2026-05-11 04:30:13+00:00,4,14,37702.0,628.37,10.47
2026-05-11 14:58:35.015881+00:00,steel,IRL,10850,2026-05-11 12:14:52+00:00,12,14,9823.0,163.72,2.73
2026-05-11 14:58:35.015881+00:00,ゆゆうた押忍,Just Chatting,9702,2026-05-11 09:00:34+00:00,9,14,21481.0,358.02,5.97
2026-05-11 14:58:35.015881+00:00,たいじ_たいちゃんねる,EA Sports UFC 5,9301,2026-05-11 07:19:01+00:00,7,14,27574.0,459.57,7.66
2026-05-11 14:58:35.015881+00:00,超負荷,Just Chatting,9219,2026-05-11 09:22:25+00:00,9,14,20170.0,336.17,5.6
2026-05-11 14:58:35.015881+00:00,k4sen,League of Legends,8580,2026-05-11 10:20:40+00:00,10,14,16675.0,277.92,4.63
2026-05-11 14:58:35.015881+00:00,Clemovitch,Just Chatting,8496,2026-05-11 10:37:54+00:00,10,14,15641.0,260.68,4.34
2026-05-11 14:58:35.015881+00:00,tonveraendert,Just Chatting,7875,2026-05-11 11:34:00+00:00,11,14,12275.0,204.58,3.41
2026-05-11 14:58:35.015881+00:00,cybersteffie,Software and Game Development,7798,2026-05-11 03:01:13+00:00,3,14,43042.0,717.37,11.96
2026-05-11 14:58:35.015881+00:00,Recrent,PUBG: BATTLEGROUNDS,7224,2026-05-11 11:10:02+00:00,11,14,13713.0,228.55,3.81
2026-05-11 14:58:35.015881+00:00,CohhCarnage,Death Stranding 2: On the Beach,6779,2026-05-11 11:40:44+00:00,11,14,11871.0,197.85,3.3
2026-05-11 14:58:35.015881+00:00,Dmitry_Lixxx,Counter-Strike,6529,2026-05-11 04:48:10+00:00,4,14,36625.0,610.42,10.17
2026-05-11 14:58:35.015881+00:00,珮蕾,Just Chatting,6092,2026-05-11 11:07:31+00:00,11,14,13864.0,231.07,3.85
2026-05-11 15:00:39.550152+00:00,StRoGo,Counter-Strike,43481,2026-05-11 07:13:59+00:00,7,15,28001.0,466.68,7.78
2026-05-11 15:00:39.550152+00:00,PGL,Counter-Strike,27262,2026-05-11 04:13:15+00:00,4,15,38845.0,647.42,10.79
2026-05-11 15:00:39.550152+00:00,aospat,Just Chatting,25218,2026-05-11 12:47:38+00:00,12,15,7982.0,133.03,2.22
2026-05-11 15:00:39.550152+00:00,dangerlyoha,IRL,19705,2026-05-11 12:02:48+00:00,12,15,10672.0,177.87,2.96
2026-05-11 15:00:39.550152+00:00,gon_vl,Splatoon 3,16563,2026-05-11 07:21:43+00:00,7,15,27537.0,458.95,7.65
2026-05-11 15:00:39.550152+00:00,fps_shaka,League of Legends,15096,2026-05-11 11:04:07+00:00,11,15,14193.0,236.55,3.94
2026-05-11 15:00:39.550152+00:00,cs2_paragon_ru,Counter-Strike,12525,2026-05-11 04:25:51+00:00,4,15,38089.0,634.82,10.58
2026-05-11 15:00:39.550152+00:00,bySL4M,Counter-Strike,12348,2026-05-11 04:30:13+00:00,4,15,37827.0,630.45,10.51
2026-05-11 15:00:39.550152+00:00,steel,IRL,11074,2026-05-11 12:14:52+00:00,12,15,9948.0,165.8,2.76
2026-05-11 15:00:39.550152+00:00,ゆゆうた押忍,Just Chatting,9702,2026-05-11 09:00:34+00:00,9,15,21606.0,360.1,6.0
2026-05-11 15:00:39.550152+00:00,超負荷,Just Chatting,9219,2026-05-11 09:22:25+00:00,9,15,20295.0,338.25,5.64
2026-05-11 15:00:39.550152+00:00,たいじ_たいちゃんねる,EA Sports UFC 5,9196,2026-05-11 07:19:01+00:00,7,15,27699.0,461.65,7.69
2026-05-11 15:00:39.550152+00:00,k4sen,League of Legends,8580,2026-05-11 10:20:40+00:00,10,15,16800.0,280.0,4.67
2026-05-11 15:00:39.550152+00:00,Clemovitch,Just Chatting,8496,2026-05-11 10:37:54+00:00,10,15,15766.0,262.77,4.38
2026-05-11 15:00:39.550152+00:00,tonveraendert,Just Chatting,7875,2026-05-11 11:34:00+00:00,11,15,12400.0,206.67,3.44
2026-05-11 15:00:39.550152+00:00,cybersteffie,Software and Game Development,7798,2026-05-11 03:01:13+00:00,3,15,43167.0,719.45,11.99
2026-05-11 15:00:39.550152+00:00,Recrent,PUBG: BATTLEGROUNDS,7224,2026-05-11 11:10:02+00:00,11,15,13838.0,230.63,3.84
2026-05-11 15:00:39.550152+00:00,CohhCarnage,Death Stranding 2: On the Beach,6924,2026-05-11 11:40:44+00:00,11,15,11996.0,199.93,3.33
2026-05-11 15:00:39.550152+00:00,珮蕾,Just Chatting,6092,2026-05-11 11:07:31+00:00,11,15,13989.0,233.15,3.89
2026-05-11 15:00:39.550152+00:00,lol_nemesis,League of Legends,6065,2026-05-11 09:59:27+00:00,9,15,18073.0,301.22,5.02
2026-05-11 15:01:35.020352+00:00,StRoGo,Counter-Strike,42140,2026-05-11 07:13:59+00:00,7,15,28056.0,467.6,7.79
2026-05-11 15:01:35.020352+00:00,PGL,Counter-Strike,26113,2026-05-11 04:13:15+00:00,4,15,38900.0,648.33,10.81
2026-05-11 15:01:35.020352+00:00,aospat,Just Chatting,25218,2026-05-11 12:47:38+00:00,12,15,8037.0,133.95,2.23
2026-05-11 15:01:35.020352+00:00,dangerlyoha,IRL,19705,2026-05-11 12:02:48+00:00,12,15,10727.0,178.78,2.98
2026-05-11 15:01:35.020352+00:00,gon_vl,Splatoon 3,16563,2026-05-11 07:21:43+00:00,7,15,27592.0,459.87,7.66
2026-05-11 15:01:35.020352+00:00,fps_shaka,League of Legends,15096,2026-05-11 11:04:07+00:00,11,15,14248.0,237.47,3.96
2026-05-11 15:01:35.020352+00:00,cs2_paragon_ru,Counter-Strike,12525,2026-05-11 04:25:51+00:00,4,15,38144.0,635.73,10.6
2026-05-11 15:01:35.020352+00:00,bySL4M,Counter-Strike,12348,2026-05-11 04:30:13+00:00,4,15,37882.0,631.37,10.52
2026-05-11 15:01:35.020352+00:00,steel,IRL,11074,2026-05-11 12:14:52+00:00,12,15,10003.0,166.72,2.78
2026-05-11 15:01:35.020352+00:00,ゆゆうた押忍,Just Chatting,9702,2026-05-11 09:00:34+00:00,9,15,21661.0,361.02,6.02
2026-05-11 15:01:35.020352+00:00,超負荷,Just Chatting,9219,2026-05-11 09:22:25+00:00,9,15,20350.0,339.17,5.65
2026-05-11 15:01:35.020352+00:00,たいじ_たいちゃんねる,EA Sports UFC 5,9196,2026-05-11 07:19:01+00:00,7,15,27754.0,462.57,7.71
2026-05-11 15:01:35.020352+00:00,Clemovitch,Just Chatting,8634,2026-05-11 10:37:54+00:00,10,15,15821.0,263.68,4.39
2026-05-11 15:01:35.020352+00:00,k4sen,League of Legends,8580,2026-05-11 10:20:40+00:00,10,15,16855.0,280.92,4.68
2026-05-11 15:01:35.020352+00:00,tonveraendert,Just Chatting,8253,2026-05-11 11:34:00+00:00,11,15,12455.0,207.58,3.46
2026-05-11 15:01:35.020352+00:00,cybersteffie,Software and Game Development,7798,2026-05-11 03:01:13+00:00,3,15,43222.0,720.37,12.01
